Mês,Ano,Mês/Ano,Geração (kWh),Consumo (kWh),Saldo créditos (kWh),Tarifa (R$/kWh),Preço crédito (R$/kWh),Economia (R$),Compra rede (R$),Parcela (R$),Manutenção (R$),Fluxo líquido (R$),Acumulado (R$)
1,2026,01/2026,1346.64,1237.17,109.47,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-21.86
2,2026,02/2026,1346.64,1237.17,218.94,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-43.72
3,2026,03/2026,1346.64,1237.17,328.41,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-65.58
4,2026,04/2026,1346.64,1237.17,437.88,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-87.44
5,2026,05/2026,1346.64,1237.17,547.35,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-109.3
6,2026,06/2026,1346.64,1237.17,656.82,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-131.16
7,2026,07/2026,1346.64,1237.17,766.29,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-153.01999999999998
8,2026,08/2026,1346.64,1237.17,875.76,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-174.88
9,2026,09/2026,1346.64,1237.17,985.23,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-196.74
10,2026,10/2026,1346.64,1237.17,1094.7,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-218.60000000000002
11,2026,11/2026,1346.64,1237.17,1204.17,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-240.46000000000004
12,2026,12/2026,1346.64,1237.17,1313.64,0.973,0.556,790.64,0.0,750.0,62.5,-21.86,-262.32000000000005
13,2027,01/2027,1339.91,1237.17,1416.38,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-332.47
14,2027,02/2027,1339.91,1237.17,1519.11,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-402.62
15,2027,03/2027,1339.91,1237.17,1621.85,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-472.77
16,2027,04/2027,1339.91,1237.17,1724.59,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-542.92
17,2027,05/2027,1339.91,1237.17,1827.32,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-613.0699999999999
18,2027,06/2027,1339.91,1237.17,1930.06,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-683.2199999999999
19,2027,07/2027,1339.91,1237.17,2032.8,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-753.3699999999999
20,2027,08/2027,1339.91,1237.17,2135.53,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-823.5199999999999
21,2027,09/2027,1339.91,1237.17,2238.27,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-893.6699999999998
22,2027,10/2027,1339.91,1237.17,2341.01,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-963.8199999999998
23,2027,11/2027,1339.91,1237.17,2443.74,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-1033.9699999999998
24,2027,12/2027,1339.91,1237.17,2546.48,1.051,0.487,742.35,0.0,750.0,62.5,-70.15,-1104.12
25,2028,01/2028,1333.21,1237.17,2642.52,1.135,0.405,681.27,0.0,750.0,62.5,-131.23,-1235.35
26,2028,02/2028,1333.21,1237.17,2738.56,1.135,0.405,681.27,0.0,750.0,62.5,-131.23,-1366.58
27,2028,03/2028,1333.21,1237.17,2834.59,1.135,0.405,681.27,0.0,750.0,62.5,-131.23,-1497.81
28,2028,04/2028,1333.21,1237.17,2930.63,1.135,0.405,681.27,0.0,750.0,62.5,-131.23,-1629.04
29,2028,05/2028,1333.21,1237.17,3026.67,1.135,0.405,681.27,0.0,750.0,62.5,-131.23,-1760.27
30,2028,06/2028,1333.21,1237.17,3122.71,1.135,0.405,681.27,0.0,750.0,62.5,-131.23,-1891.5
31,2028,07/2028,1333.21,1237.17,3218.74,1.135,0.405,681.27,0.0,750.0,62.5,-131.23,-2022.73
32,2028,08/2028,1333.21,1237.17,3314.78,1.135,0.405,681.27,0.0,750.0,62.5,-131.23,-2153.96
33,2028,09/2028,1333.21,1237.17,3410.82,1.135,0.405,681.27,0.0,750.0,62.5,-131.23,-2285.19
34,2028,10/2028,1333.21,1237.17,3506.85,1.135,0.405,681.27,0.0,750.0,62.5,-131.23,-2416.42
