Mês;Ano;Tarifa (R$/kWh);Preço crédito (R$/kWh);Economia (R$);Conta sem solar (R$);Conta com solar (R$);Parcela (R$);Fluxo líquido (R$);Acumulado (R$)
1;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;40.64
2;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;81.28
3;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;121.92
4;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;162.56
5;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;203.2
6;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;243.83999999999997
7;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;284.47999999999996
8;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;325.11999999999995
9;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;365.75999999999993
10;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;406.3999999999999
11;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;447.0399999999999
12;2026;0.973;0.556;790.64;1203.77;413.12;750;40.64;487.6799999999999
13;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;493.7799999999999
14;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;499.87999999999994
15;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;505.97999999999996
16;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;512.0799999999999
17;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;518.18
18;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;524.28
19;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;530.38
20;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;536.48
21;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;542.58
22;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;548.6800000000001
23;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;554.7800000000001
24;2027;1.07;0.496;756.1;1324.14;568.05;750;6.1;560.8800000000001
25;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;517.6200000000001
26;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;474.3600000000001
27;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;431.10000000000014
28;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;387.84000000000015
29;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;344.58000000000015
30;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;301.32000000000016
31;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;258.0600000000002
32;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;214.80000000000018
33;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;171.5400000000002
34;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;128.2800000000002
35;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;85.02000000000021
36;2028;1.177;0.42;706.74;1456.56;749.82;750;-43.26;41.76000000000021
37;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-22.469999999999793
38;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-86.69999999999979
39;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-150.92999999999978
40;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-215.1599999999998
41;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-279.3899999999998
42;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-343.61999999999983
43;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-407.84999999999985
44;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-472.07999999999987
45;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-536.3099999999998
46;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-600.5399999999998
47;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-664.7699999999999
48;2029;1.295;0.369;685.77;1602.21;916.45;750;-64.23;-728.9999999999999
49;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-724.6599999999999
50;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-720.3199999999998
51;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-715.9799999999998
52;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-711.6399999999998
53;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-707.2999999999997
54;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-702.9599999999997
55;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-698.6199999999997
56;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-694.2799999999996
57;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-689.9399999999996
58;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-685.5999999999996
59;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-681.2599999999995
60;2030;1.425;0.406;754.34;1762.43;1008.09;750;4.34;-676.9199999999995
61;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;-597.1399999999995
62;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;-517.3599999999996
63;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;-437.5799999999996
64;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;-357.7999999999996
65;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;-278.01999999999964
66;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;-198.23999999999964
67;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;-118.45999999999964
68;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;-38.67999999999964
69;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;41.100000000000364
70;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;120.88000000000036
71;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;200.66000000000037
72;2031;1.567;0.447;829.78;1938.68;1108.9;750;79.78;280.4400000000004
